MINE_ID|MINE_NAME|MINE_TYPE|MINE_STATUS|OPERATOR_NAME|OPERATOR_GROUP|CONTROLLER_NAME|STATE|COUNTY|LATITUDE|LONGITUDE|REGION_CODE|PRIMARY_SIC|PRIMARY_CANVASS|NO_EMPLOYEES|NEAREST_TOWN
2700492|Rodrigue's Gravel and Excavation Inc.|Surface|Intermittent|Rodrigue's Gravel and Excavation Inc|OTHER|Michel  Rodrigue; Ronny  Rodrigue|NH|Coos|44.871111|-71.380833|OTHER|Construction Sand and Gravel|SandAndGravel|2|Colebrook
2700493|Seacoast Sand & Stone LLC|Surface|Intermittent|Seacoast Sand & Stone LLC|OTHER|Michael  Rislove|NH|Rockingham|42.979167|-71.112222|OTHER|Construction Sand and Gravel|SandAndGravel|2|Freemont
2700497|On-Spec Sand & Gravel|Surface|Active|On-Spec Sand & Gravel, LLC|OTHER|Charles  Benevento|NH|Merrimack|43.196111|-71.473056|OTHER|Construction Sand and Gravel|SandAndGravel|1|Concord
2700500|Jericho Brook|Surface|Intermittent|Jericho Brook Commercial Development LLC|OTHER|Albert J Guay; Mary L Guay|NH|Coos|44.482932|-71.183661|OTHER|Construction Sand and Gravel|SandAndGravel|2|Berlin
2700503|METSO PORTABLE 6008|Surface|Intermittent|F L Merrill Construction Incorporated|OTHER|Frank L  Merrill|NH|Merrimack|43.213889|-71.473056|OTHER|Construction Sand and Gravel|SandAndGravel|3|Pembroke
2700508|Goodwin-Barsby|Surface|Intermittent|K & B Crushing Equipment, LLC|OTHER|Keith A  Babb|NH|Merrimack|43.278056|-71.366111|OTHER|Construction Sand and Gravel|SandAndGravel|1|Epsom
2700510|BURKE QUARRY LLC|Surface|Intermittent|BURKE QUARRY LLC|OTHER|Joseph G Labonte Irrevocable Trust; Jeffrey G Burke|NH|Carroll|44.013889|-71.075833|OTHER|Construction Sand and Gravel|SandAndGravel|3|CENTER CONWAY
2700513|2005 S5 Crawler Screener 9475|Surface|Intermittent|Laurent Rancourt|OTHER|Laurent  Rancourt|NH|Coos|45.005278|-71.453056|OTHER|Construction Sand and Gravel|SandAndGravel|2|Clarkesville
2700515|Portable Hewitt 1|Surface|Intermittent|MR Evans Ground Up Maintenance & Mgmt LLC|OTHER|Mark R  Evans|NH|Rockingham|42.920278|-71.365278|OTHER|Construction Sand and Gravel|SandAndGravel|1|Derry
2700516|Peterborough Pit|Surface|Intermittent|Northeast Sand and Gravel LLC|OTHER|Michael  Brown; Kevin  Brown|NH|Hillsborough|42.856944|-71.955278|OTHER|Construction Sand and Gravel|SandAndGravel|2|Wilton
2700519|GMI Sand Pit|Surface|Active|GMI Acquisition LLC|OTHER|Warren  Colby; Marc  Bourgeois|NH|Merrimack|43.378056|-71.652222|OTHER|Construction Sand and Gravel|SandAndGravel|3|Boscawen
2700520|PINE RIVER SAND AND GRAVEL|Surface|Intermittent|PINE RIVER SAND AND GRAVEL, LLC|OTHER|Lindsay  Donovan; Gary  Alcock|NH|Carroll|43.706111|-71.095|OTHER|Construction Sand and Gravel|SandAndGravel|3|Ossipee
2700522|Mountain Made Materials|Surface|Active|Mountain Made Materials, LLC|OTHER|James Thomas  Lynch; James Owen  Lynch|NH|Belknap|43.463333|-71.500278|OTHER|Construction Sand and Gravel|SandAndGravel|2|Belmont
2700523|Metso ST2.8|Surface|Intermittent|MAC Sand & Gravel|OTHER|Bob  MacDonald|NH|Rockingham|43.038056|-70.865278|OTHER|Construction Sand and Gravel|SandAndGravel|2|Portsmouth
2700524|Champagne Quality Aggregates|Surface|Active|Champagne Quality Aggregates LLC|OTHER|Joane E Champagne; Jonathan E Champagne|NH|Merrimack|43.443056|-71.798889|OTHER|Construction Sand and Gravel|SandAndGravel|3|Andover
